Power (W),Scanning speed (mm/s) ,Interaction time (ms),Ev (J/mm3),Track nr.,H1,H2,W1,W2,A1,A2
150,400,0.20,125.00,2,81.83,47.24,211.23,244.68,134.86,160.26
150,600,0.13,83.33,2,92.65,27.11,95.15,109.83,86.11,62.68
150,800,0.10,62.50,2,60.17,43.5,129.13,155.18,125.96,130.42
150,400,0.20,125.00,3,59.86,52.19,112.84,168.33,130.11,122.61
150,600,0.13,83.33,3,63.64,51.66,141.68,162.73,112.95,106.22
150,800,0.10,62.50,3,120.35,23.94,110.1,121.16,79.94,86.52
175,400,0.20,145.83,2,78.1,51.05,155.16,212.87,67.98,123.76
175,600,0.13,97.22,2,69.2,31.44,140.4,147.22,130.4,75.89
175,800,0.10,72.92,2,44.87,51.33,133.68,188.31,107.92,142.49
175,400,0.20,145.83,3,94.77,57.82,183.13,188.54,137.23,101.88
175,600,0.13,97.22,3,64.69,41.14,176.14,179.22,136.45,129.8
175,800,0.10,72.92,3,76.41,32.72,168.9,177.1,142.04,60.91
200,400,0.20,166.67,2,84.61,65.61,135.41,208.69,116.25,101.69
200,600,0.13,111.11,2,67.06,46.79,164.91,176.71,143.68,151.37
200,800,0.10,83.33,2,92.09,49.23,145.7,152.25,81.19,113.68
200,400,0.20,166.67,3,116.84,73.2,195.05,222.59,107.85,56.75
200,600,0.13,111.11,3,65.55,38.04,164.8,172.71,137.54,139.93
200,800,0.10,83.33,3,28.6,52.89,121.55,171.2,128.39,107.05
